program_id,program_title,current_state,proposed_status,action,proposed_db_actions,evidence,notes,blockers
0839CM,"Fiber Optics - Principles, Installation and Repair","{""delivery_facts"":{""authoritative_raw"":""Program length This microcredential could be completed in one year. Grading A minimum grade of 70% is required to pass each course. Accreditation Certified Fiber Optic Technician (CFOT) with Fiber Optic Association (FOA) . Program delivery In person: This program is delivered on campus. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Continue your education This microcredential can ladder into the Telecommunications Systems Technician program. Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0839CM"",""source_url"":""https://www.bcit.ca/programs/fiber-optics-principles-installation-and-repair-microcredential-part-time-0839cm/"",""terms_per_year"":null,""total_credits"":""3.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0846CM,Sterile Field and the Aseptic Environment,"{""delivery_facts"":{""authoritative_raw"":""This Flexible Learning (part-time) microcredential can be completed in its entirety, or on a badge-by badge basis. Learners can take each badge based on their specific learning needs. This may depend on their current or future work environment. If a learner can demonstrate adequate work experience aligning with the content of Badge 1 and/or Badge 2, credit may be given for that content subject to special approval from the program department. Program length This part-time microcredential is 12 weeks in length. To earn the 3.5-credit microcredential in Sterile Field and Aseptic Environment (SFAE), students must earn the following badges: NSPO 1110 (1.5 credits/4 weeks) NSPO 1120 (1 credit/4 weeks) NPSO 1130 (1 credit/4 weeks) Program delivery Online: This program is delivered fully online. Program location Online Learning Go back Courses Next up Faculty, Advisors & Staff"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0846CM"",""source_url"":""https://www.bcit.ca/programs/sterile-field-and-the-aseptic-environment-microcredential-part-time-0846cm/"",""terms_per_year"":null,""total_credits"":""3.5""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0851CM,Aircraft Defect Inspection and Reporting Techniques,"{""delivery_facts"":{""authoritative_raw"":""Program delivery In person: This program is delivered on campus. Program location Annacis Island Campus 1608 Cliveden Avenue Delta, BC V3M 6M2 Go back Courses Next up Faculty, Advisors & Staff"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0851CM"",""source_url"":""https://www.bcit.ca/programs/aircraft-defect-inspection-and-reporting-techniques-microcredential-part-time-0851cm/"",""terms_per_year"":null,""total_credits"":""4.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0853CM,Principles of Regenerative Building,"{""delivery_facts"":{""authoritative_raw"":""Program length Students can register course-by-course, and take any individual course according to interest. To receive this microcredential, students must complete all three courses. Maximum timeline to complete all courses is five years. Grading Students require a final grade of 50% in each course to successfully complete this program. Program delivery Online: This program is delivered fully online. Program location Distance and online learning Go back Courses Next up Contact Us"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0853CM"",""source_url"":""https://www.bcit.ca/programs/principles-of-regenerative-building-microcredential-part-time-0853cm/"",""terms_per_year"":null,""total_credits"":""8.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0856CM,Retrofit Solutions for Rural Communities,"{""delivery_facts"":{""authoritative_raw"":""Program delivery Blended: This program is delivered partly on campus and partly online. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Distance and online learning Go back Courses Next up Contact Us"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0856CM"",""source_url"":""https://www.bcit.ca/programs/retrofit-solutions-for-rural-communities-microcredential-part-time-0856cm/"",""terms_per_year"":null,""total_credits"":""3.5""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0857CM,Automotive Collision Estimator,"{""delivery_facts"":{""authoritative_raw"":""Grading The minimum passing grade is 70%. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Go back Courses Next up Faculty, Advisors & Staff"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0857CM"",""source_url"":""https://www.bcit.ca/programs/automotive-collision-estimator-microcredential-part-time-0857cm/"",""terms_per_year"":null,""total_credits"":""9.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0860CM,Heat Pump Maintenance and Troubleshooting,"{""delivery_facts"":{""authoritative_raw"":""Program length Six weeks. Program delivery Blended: This program is delivered partly on campus and partly online. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Distance and online learning Go back Courses Next up Faculty, Advisors & Staff"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0860CM"",""source_url"":""https://www.bcit.ca/programs/heat-pump-maintenance-and-troubleshooting-microcredential-part-time-0860cm/"",""terms_per_year"":null,""total_credits"":""7.5""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0862CM,Residential Air to Air Heat Pump Specialist,"{""delivery_facts"":{""authoritative_raw"":""Program length This program can be completed in three to six months. Program delivery Blended: This program is delivered partly on campus and partly online. Students will need to be on campus for one of the five courses of this program. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Distance and online learning Go back Courses Next up Contact Us"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0862CM"",""source_url"":""https://www.bcit.ca/programs/residential-air-to-air-heat-pump-specialist-microcredential-part-time-0862cm/"",""terms_per_year"":null,""total_credits"":""9.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0865CM,Introduction to Power Systems Protection Design,"{""delivery_facts"":{""authoritative_raw"":""Program length This microcredential can be completed in one year. Grading Students must obtain a passing grade of 50% in each course. Additional program options Students who take this program may also be interested in the following programs: Distribution Design for Electrical Utilities Microcredential Electrical and Computer Engineering Technology (Electrical Power and Industrial Control Option) Diploma Accreditation These courses can be taken to meet the EGBC professional development requirement. Program delivery Online: This program is delivered fully online. The online lectures will be synchronous and students will be required to attend them at the posted dates and times. Recorded sessions may be available upon request. Program location Distance and online learning Continue your education This microcredential program can be stacked with the Distribution Design for Electrical Utilities Microcredential (TBA) for an Advanced Certificate in ECET (Power Option). Students must already have the ECET Diploma (Electrical Power and Industrial Control Option) to qualify. Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0865CM"",""source_url"":""https://www.bcit.ca/programs/introduction-to-power-systems-protection-design-microcredential-part-time-0865cm/"",""terms_per_year"":null,""total_credits"":""4.5""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0869CM,Occupational Health and Safety Essentials,"{""delivery_facts"":{""authoritative_raw"":""Program length This program can be completed in one term (12 weeks). Grading The passing grade for each course is 60%. Courses are graded based on assignments and exams. Program delivery Online: This program is delivered fully online. Program location Distance and online learning Continue your education These courses can be used towards the Associate Certificate in Foundations in Occupational Health and Safety . Go back Courses Next up Faculty, Advisors & Staff"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0869CM"",""source_url"":""https://www.bcit.ca/programs/occupational-health-and-safety-essentials-microcredential-part-time-0869cm/"",""terms_per_year"":null,""total_credits"":""8.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0874CM,"Fundamentals in Architecture, Construction, and Engineering","{""delivery_facts"":{""authoritative_raw"":""Program delivery In person: This program is delivered on campus. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Okanagan College Kelowna Campus 1000 KLO Road Kelowna, BC Continue your education The three courses in this program comprise the first segment of the Certificate in Essential Technical Skills for Architecture, Construction, and Engineering . Please contact Ann Martineau for more information. Go back Courses Next up Faculty, Advisors & Staff"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0874CM"",""source_url"":""https://www.bcit.ca/programs/fundamentals-in-architecture-construction-and-engineering-microcredential-part-time-0874cm/"",""terms_per_year"":null,""total_credits"":""9.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
0875CM,Applied Additive Manufacturing,"{""delivery_facts"":{""authoritative_raw"":""Program length The courses can be completed in one or two years. Grading Achievement of the competencies in this microcredential will be assessed through a competency-based, project-driven approach that validates both theoretical understanding and hands-on skill application. The passing grade for each course is 70%. Program delivery In person: This program is delivered on campus. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""0875CM"",""source_url"":""https://www.bcit.ca/programs/applied-additive-manufacturing-microcredential-part-time-0875cm/"",""terms_per_year"":null,""total_credits"":""9.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
1180ACERT,Trades Discovery General,"{""delivery_facts"":{""authoritative_raw"":""Program length 16 weeks, full-time Grading Student learning is evaluated throughout the program. Passing grade for each course is 70% or S; depending on the grade mode of the individual course. Program delivery Blended: This program is delivered partly on campus and partly online. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Distance and online learning Some sessions will take place at BCIT Satellite Campuses located in the Lower Mainland. Go back Courses Next up Contact Us"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""1180ACERT"",""source_url"":""https://www.bcit.ca/programs/trades-discovery-general-associate-certificate-full-time-1180acert/"",""terms_per_year"":null,""total_credits"":""21.5""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
1190ACERT,Trades Discovery for Women,"{""delivery_facts"":{""authoritative_raw"":""Program length 16 weeks, full-time Grading Student learning is evaluated throughout the program. Passing grade for each course is 70% or S; depending on the grade mode of the individual course. Program delivery Blended: This program is delivered partly on campus and partly online. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Note: Some sessions will take place at BCIT Satellite Campuses located in the Lower Mainland. Go back Courses Next up Contact Us"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""1190ACERT"",""source_url"":""https://www.bcit.ca/programs/trades-discovery-for-women-associate-certificate-full-time-1190acert/"",""terms_per_year"":null,""total_credits"":""21.5""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
1195IPCERT,Advanced Gas Turbine,"{""delivery_facts"":{""authoritative_raw"":""Program length 8 weeks Grading Minimum course passing grade is 70%. Program delivery In person: This program is delivered on campus. Program location Aerospace Technology Campus 3800 Cessna Drive Richmond, BC MTU Maintenance Canada Ltd. Boundary Bay Airport Delta, BC Go back Courses Next up Faculty, Advisors & Staff"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""1195IPCERT"",""source_url"":""https://www.bcit.ca/programs/advanced-gas-turbine-bcit-industry-partnership-certificate-full-time-1195ipcert/"",""terms_per_year"":null,""total_credits"":""19.5""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
1255CERT,Auto Body Repair and Refinishing Technician Foundation,"{""delivery_facts"":{""authoritative_raw"":""Program length 40 weeks, full-time Grading The passing grade in each course is 70%. All courses must be passed to successfully complete the program. Program delivery Blended: This program is delivered partly on campus and partly online. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC SkilledTradesBC BCIT transfers the student's name, contact information, Personal Education Number (PEN), and the name and date of the completed Foundation program to SkilledTradesBC. This information is used for the purposes of tracking successful completions in order to grant credit towards apprenticeship where applicable, and communicating with trainees to promote continuation in an apprenticeship program. Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""1255CERT"",""source_url"":""https://www.bcit.ca/programs/auto-body-repair-and-refinishing-technician-foundation-certificate-full-time-1255cert/"",""terms_per_year"":null,""total_credits"":""76.5""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
1355TTCERT,Automotive Technician Foundation,"{""delivery_facts"":{""authoritative_raw"":""Program length 30 weeks, full-time Grading All of the following conditions must be achieved in order to successfully complete the program: Minimum passing grade of 70% is required in each course All courses must be passed Program delivery Blended: This program is delivered partly on campus and partly online. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC SkilledTradesBC BCIT transfers the student's name, contact information, Personal Education Number (PEN), and the name and date of the completed Foundation program to SkilledTradesBC. This information is used for the purposes of tracking successful completions in order to grant credit towards Automotive Service Technician apprenticeship where applicable, and communicating with trainees to promote continuation in an apprenticeship program. Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""1355TTCERT"",""source_url"":""https://www.bcit.ca/programs/automotive-technician-foundation-certificate-full-time-1355ttcert/"",""terms_per_year"":null,""total_credits"":""60.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
1360CERT,Automotive Technician (Honda/Acura Foundation),"{""delivery_facts"":{""authoritative_raw"":""Program length 32 weeks, full-time Grading All of the following conditions must be achieved in order to successfully complete the program: Minimum passing grade of 70% is required for each course. Must maintain a minimum of 90% attendance for each course to be eligible for the course final exam. Program delivery Blended: This program is delivered partly on campus and partly online. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC SkilledTradesBC BCIT transfers the student's name, contact information, Personal Education Number (PEN), and the name and date of the completed Foundation program to SkilledTradesBC. This information is used for the purposes of tracking successful completions in order to grant credit towards Automotive Service Technician apprenticeship where applicable, and communicating with trainees to promote continuation in an apprenticeship program. Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""1360CERT"",""source_url"":""https://www.bcit.ca/programs/automotive-technician-honda-acura-foundation-certificate-full-time-1360cert/"",""terms_per_year"":null,""total_credits"":""62.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
